title,url,comment
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Me gustaría sugerir que si algo asi vuelve a ocurrir no solo hagan flexiones. Saquen un libro y ponganse a leer en silencio frente al teatro o túrnense para leer a viva voz una novela emblemática, al estilo de el 23 de abril, que leemos en alto el Quijote. Que vean que el modo guerra no es solo cuidar el fisico, eso es lo más fácil. El verdadero hocicazo a las feministas y haters es demostrar intelectualidad.   Saludos mis compas"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Gracias
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,excelente contenido
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Eres un genio pa
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Con todo pelochas!!!, hasta las últimas consecuencias, estamos contigo."
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Una v3rg@ de live, gracias mi pelon"
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,El final es oro!  A partir del 1:58:00 es un discurso motivador
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Puro martes de modo guerra 
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,arriba los compas!
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Sigue adelante mi líder 🫡
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,Si de nuevo chihuas mi temach
,https://www.youtube.com/watch?v=hraEZogFYjs&pp=ygUJRUwgVEVNQUNI,"Cuando mencionas sobre los weyes que te critican me dio risa... Los weyes ""Del Deforma"" por ejemplo, te traen bien adetro mi compa. "
